retriever,question_id,chunk_size,rank,stored_paper_relevance,calculated_paper_relevance,paper_flag_matches,stored_page_relevance,calculated_page_relevance,page_flag_matches
dense,Q01,200,1,True,True,True,False,False,True
dense,Q01,200,2,True,True,True,False,False,True
dense,Q01,200,3,True,True,True,False,False,True
dense,Q01,200,4,False,False,True,False,False,True
dense,Q01,200,5,True,True,True,False,False,True
dense,Q02,200,1,False,False,True,False,False,True
dense,Q02,200,2,True,True,True,True,True,True
dense,Q02,200,3,True,True,True,True,True,True
dense,Q02,200,4,False,False,True,False,False,True
dense,Q02,200,5,True,True,True,True,True,True
dense,Q03,200,1,False,False,True,False,False,True
dense,Q03,200,2,True,True,True,True,True,True
dense,Q03,200,3,True,True,True,False,False,True
dense,Q03,200,4,True,True,True,False,False,True
dense,Q03,200,5,False,False,True,False,False,True
dense,Q04,200,1,True,True,True,False,False,True
dense,Q04,200,2,True,True,True,False,False,True
dense,Q04,200,3,False,False,True,False,False,True
dense,Q04,200,4,True,True,True,False,False,True
dense,Q04,200,5,True,True,True,False,False,True
dense,Q05,200,1,True,True,True,True,True,True
dense,Q05,200,2,False,False,True,False,False,True
dense,Q05,200,3,True,True,True,False,False,True
dense,Q05,200,4,True,True,True,False,False,True
dense,Q05,200,5,False,False,True,False,False,True
dense,Q06,200,1,True,True,True,False,False,True
dense,Q06,200,2,True,True,True,True,True,True
dense,Q06,200,3,False,False,True,False,False,True
dense,Q06,200,4,False,False,True,False,False,True
dense,Q06,200,5,True,True,True,False,False,True
dense,Q07,200,1,True,True,True,False,False,True
dense,Q07,200,2,True,True,True,False,False,True
dense,Q07,200,3,True,True,True,True,True,True
dense,Q07,200,4,True,True,True,True,True,True
dense,Q07,200,5,True,True,True,False,False,True
dense,Q08,200,1,False,False,True,False,False,True
dense,Q08,200,2,False,False,True,False,False,True
dense,Q08,200,3,False,False,True,False,False,True
dense,Q08,200,4,False,False,True,False,False,True
dense,Q08,200,5,False,False,True,False,False,True
dense,Q09,200,1,True,True,True,False,False,True
dense,Q09,200,2,True,True,True,True,True,True
dense,Q09,200,3,True,True,True,False,False,True
